author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/307211222/,Москва,sale,flat,8,9,1,57.6,-1,0,117936000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,-1,0,32000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва,sale,flat,11,12,1,33.5,-1,0,8000000,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,-1,0,21798900,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,-1,0,31000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/308103967/,Москва,sale,flat,2,2,1,34.5,-1,0,6400000,Марьино, Перерва,8С1,Перерва,
VESPER,developer,https://www.cian.ru/sale/flat/306541560/,Москва,sale,flat,5,21,1,65.9,-1,0,82172522,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,-1,0,61800000,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309028428/,Москва,sale,flat,9,14,1,38.5,-1,0,7000000,Крюково,Зеленоград,к1524,Зеленоград — Крюково,
MR Group,developer,https://www.cian.ru/sale/flat/300288196/,Москва,sale,flat,3,49,1,39.37,-1,0,19037954,Савеловский,,,Дмитровская,Симфония 34 ЖК
ID 148596,homeowner,https://www.cian.ru/sale/flat/268629674/,Москва,sale,flat,10,10,1,38.5,-1,0,11280000,Выхино-Жулебино,Жулебинский бульвар,6/11,Лермонтовский проспект,
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/308499820/,Москва,sale,flat,1,5,1,31.3,-1,0,8400000,Перово,Новогиреевская ,13,Перово,
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,-1,0,23274675,Филевский парк,Береговой проезд,2,Фили,Береговой-2
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/307810501/,Москва,sale,flat,75,95,1,57.0,-1,0,47000000,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
ID 497357,realtor,https://www.cian.ru/sale/flat/307664639/,Москва,sale,flat,2,9,1,31.8,-1,0,11990000,Кунцево,Ельнинская ,22К1,Молодёжная,
MR Group,developer,https://www.cian.ru/sale/flat/306611541/,Москва,sale,flat,2,59,1,30.4,-1,0,,Можайский,,,Давыдково,Веер ЖК
ID 112609323,realtor,https://www.cian.ru/sale/flat/307205775/,Москва,sale,flat,4,6,1,59.35,-1,0,101785250,Мещанский, Кузнецкий Мост,12/3С1,Кузнецкий мост,Kuznetsky Most 12 by Lalique
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/300522888/,Москва,sale,flat,4,5,1,14.4,-1,0,3450000,Перово, 2-я Энтузиастов,5,Авиамоторная,
КОРТРОС,developer,https://www.cian.ru/sale/flat/305005720/,Москва,sale,flat,20,49,1,40.62,-1,0,18197760,Марьина роща,,,Марьина Роща,Тэйт ЖК
Home Expert,real_estate_agent,https://www.cian.ru/sale/flat/305205701/,Москва,sale,flat,4,12,1,42.7,-1,0,18500000,Даниловский,3-я оч.,к1,Технопарк,Shagal
Мария Рыськина,realtor,https://www.cian.ru/sale/flat/308543607/,Москва,sale,flat,5,12,1,33.5,-1,0,14500000,Беговой,Ленинградский проспект,33А,Динамо,
TOUCH,developer,https://www.cian.ru/sale/flat/302838421/,Москва,sale,flat,7,13,1,45.3,-1,0,27171760,Южнопортовый,,к2,Дубровка,Шампайн ЖК
Romanov Estate,real_estate_agent,https://www.cian.ru/sale/flat/302630222/,Москва,sale,flat,25,45,1,64.0,-1,0,40999999,Дорогомилово,Кутузовский проезд,16А/1,Шелепиха,River Park Кутузовский
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/307655528/,Москва,sale,flat,3,14,1,43.5,-1,0,12000000,Марьино, Перерва,26К2,Марьино,
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,-1,0,139410000,Якиманка,,,Полянка,Лаврушинский ЖК
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/307496200/,Москва,sale,flat,1,10,1,31.0,-1,0,14500000,Раменки,Мичуринский проспект,10К1,Ломоносовский проспект,
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/308711044/,Москва,sale,flat,8,22,1,40.0,-1,0,13290000,Марьино, Верхние Поля,36К2,Люблино,
Среда,developer,https://www.cian.ru/sale/flat/304753663/,Москва,sale,flat,2,44,1,31.61,-1,0,14381127,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Upside Development,developer,https://www.cian.ru/sale/flat/305099906/,Москва,sale,flat,11,47,1,41.11,-1,0,19496106,Бутырский,Огородный проезд,,Бутырская,Upside Towers
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300812067/,Москва,sale,flat,8,17,1,36.2,-1,0,27000000,Тверской,Садовая-Триумфальная ,22/31,Маяковская,
3SGroup,developer,https://www.cian.ru/sale/flat/304854261/,Москва,sale,flat,5,17,1,39.3,-1,0,11982020,,,,Корниловская,FOREVILLE
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/294620343/,Москва,sale,flat,7,13,1,50.8,-1,0,30000000,Хорошево-Мневники,Жилой комплекс остров,к4,Терехово ,Остров
1-й ДСК,developer,https://www.cian.ru/sale/flat/304778200/,Москва,sale,flat,17,24,1,34.2,-1,0,13526100,,,1,Саларьево,1-й Саларьевский ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309078046/,Москва,sale,flat,4,29,1,57.9,-1,0,33900000,Филевский парк,Береговой проезд,3,Фили,Береговой
Брусника,developer,https://www.cian.ru/sale/flat/304369731/,Москва,sale,flat,6,8,1,47.2,-1,0,32150000,Даниловский,Дубининская ,вл59к2,,Дом А
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299010726/,Москва,sale,flat,4,4,1,37.0,-1,0,37400000,Мещанский, Кузнецкий Мост,19С1,Кузнецкий мост,
Forma,developer,https://www.cian.ru/sale/flat/307003910/,Москва,sale,flat,4,6,1,47.0,-1,0,27566910,Аэропорт,Часовая ,28к8,Сокол,SOUL
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/304052206/,Москва,sale,flat,5,30,1,28.4,-1,0,8600000,Южное Бутово,к2.2,к2.2,Бунинская аллея,Южные Сады ЖК
MR Group,developer,https://www.cian.ru/sale/flat/300287873/,Москва,sale,flat,11,43,1,40.45,-1,0,21262138,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Метражи group,real_estate_agent,https://www.cian.ru/sale/flat/308167237/,Москва,sale,flat,5,7,1,34.6,-1,0,9000000,Северное Измайлово,15-я Парковая ,54,Щёлковская,
MR Group,developer,https://www.cian.ru/sale/flat/300287761/,Москва,sale,flat,7,43,1,37.36,-1,0,20231748,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
Омега-Эстейт,real_estate_agent,https://www.cian.ru/sale/flat/303983520/,Москва,sale,flat,13,17,1,37.6,-1,0,11000000,, Бачуринская,7к2,Бачуринская,Новая Звезда
Аквилон,developer,https://www.cian.ru/sale/flat/307880057/,Москва,sale,flat,21,23,1,41.3,-1,0,11180811,Отрадное,Сигнальный проезд,12,Владыкино,Akvilon Signal
Ирина Василевская,realtor,https://www.cian.ru/sale/flat/307275502/,Москва,sale,flat,2,12,1,41.0,-1,0,11700000,Соколиная гора,Вольная ,4,Семёновская,
Донстрой,developer,https://www.cian.ru/sale/flat/306642901/,Москва,sale,flat,24,27,1,39.4,-1,0,22115220,Лефортово,бульвар Сенкевича,,Римская,Символ
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/306281451/,Москва,sale,flat,9,29,1,30.1,-1,0,11750000,Черемушки, Наметкина,вл10,Новые Черёмушки,Nametkin Tower
Стадион Спартак,developer,https://www.cian.ru/sale/flat/303559547/,Москва,sale,flat,3,22,1,51.7,-1,0,31537000,Покровское-Стрешнево,Вивальди кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
Северная слобода,real_estate_agent,https://www.cian.ru/sale/flat/305813403/,Москва,sale,flat,3,3,1,31.3,-1,0,11800000,Северный,Дмитровское шоссе,122Гк4,Физтех,
Аквилон,developer,https://www.cian.ru/sale/flat/306728038/,Москва,sale,flat,19,23,1,25.8,-1,0,10151268,Отрадное,Сигнальный проезд,12,Владыкино,Akvilon Signal
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307993904/,Москва,sale,flat,16,16,1,40.0,-1,0,12300000,Западное Дегунино, Маршала Федоренко,16/2к1,Ховрино,
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196301/,Москва,sale,flat,8,17,1,42.7,-1,0,22358318,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303776402/,Москва,sale,flat,16,17,1,27.0,-1,0,13000000,Левобережный,Смольная ,44к1,Беломорская,
1-й ДСК,developer,https://www.cian.ru/sale/flat/307587728/,Москва,sale,flat,20,24,1,38.0,-1,0,13357000,,,1,Саларьево,1-й Саларьевский ЖК
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/306693359/,Москва,sale,flat,4,15,1,32.4,-1,0,14000000,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер
3SGroup,developer,https://www.cian.ru/sale/flat/299379231/,Москва,sale,flat,7,17,1,32.7,-1,0,10013823,,,,Корниловская,FOREVILLE
BERI,real_estate_agent,https://www.cian.ru/sale/flat/305730509/,Москва,sale,flat,5,9,1,36.8,-1,0,17810000,Хорошевский, Куусинена,6К13,Полежаевская,
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304298066/,Москва,sale,flat,7,17,1,42.9,-1,0,21300000,Лефортово,Солдатский переулок,10,Лефортово,Лефорт
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306708137/,Москва,sale,flat,5,5,1,30.7,-1,0,14500000,Донской,5-й Донской проезд,21К9,Площадь Гагарина,
Stenoy,developer,https://www.cian.ru/sale/flat/300878920/,Москва,sale,flat,10,12,1,34.4,-1,0,19372498,Преображенское,Электрозаводская ,60,Преображенская площадь,ARTEL
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308967173/,Москва,sale,flat,6,6,1,152.3,-1,0,110000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305283157/,Москва,sale,flat,8,16,1,48.4,-1,0,15000000,Кунцево,Рублевское шоссе,20К1,Молодёжная,
STONE,developer,https://www.cian.ru/sale/flat/305914270/,Москва,sale,flat,2,24,1,32.6,-1,0,16906360,Сокольники, Гастелло,,Сокольники,Sokolniki
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304104195/,Москва,sale,flat,14,21,1,144.0,-1,0,180000000,Пресненский, Сергея Макеева,9,Улица 1905 года,RedSide
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306226647/,Москва,sale,flat,3,23,1,38.0,-1,0,16850000,Раменки,Мичуринский проспект,13,Ломоносовский проспект,
Dominanta,developer,https://www.cian.ru/sale/flat/300728789/,Москва,sale,flat,12,41,1,36.52,-1,0,26440480,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/292945725/,Москва,sale,flat,2,11,1,49.3,-1,0,58000000,Якиманка, Большая Якиманка,22К3,Полянка,Коперник
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308007983/,Москва,sale,flat,4,18,1,38.2,-1,0,18000000,Можайский, Багрицкого,18,Кунцевская,Свой
ФСК,developer,https://www.cian.ru/sale/flat/304742429/,Москва,sale,flat,22,29,1,34.6,-1,0,19958664,Нагатино-Садовники,Варшавское шоссе,37АК1,Нагатинская,Rotterdam
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/308700943/,Москва,sale,flat,22,22,1,38.3,-1,0,18600000,Раменки,Мичуринский проспект,27К3,Раменки,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306274190/,Москва,sale,flat,1,27,1,37.2,-1,0,19600000,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,Вестердам
1-й ДСК,developer,https://www.cian.ru/sale/flat/307276374/,Москва,sale,flat,2,18,1,32.5,-1,0,10036000,,,,Тёплый Стан,1-й Ясеневский ЖК
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/300890421/,Москва,sale,flat,7,40,1,43.4,-1,0,20800000,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/306956530/,Москва,sale,flat,12,26,1,41.3,-1,0,21200000,Даниловский,18/19/27,18/19/27,ЗИЛ,Зиларт ЖК
Трансстройинвест,developer,https://www.cian.ru/sale/flat/307450513/,Москва,sale,flat,16,32,1,40.8,-1,0,14263884,Рязанский,,,Стахановская,Проспект 39 ЖК
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/308951949/,Москва,sale,flat,40,63,1,51.0,-1,0,57600000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/296522785/,Москва,sale,flat,15,20,1,50.0,-1,0,26000000,Раменки,Кинематографический кв-л,,Аминьевская,Событие ЖК
Юникей,developer,https://www.cian.ru/sale/flat/308687299/,Москва,sale,flat,9,30,1,37.5,-1,0,9562500,,,,Потапово,Новые Смыслы ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303818206/,Москва,sale,flat,5,17,1,50.2,-1,0,34900000,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299455554/,Москва,sale,flat,3,45,1,37.7,-1,0,26390000,Дорогомилово,Кутузовский проезд,16С1,Фили,River Park Кутузовский
1-й ДСК,developer,https://www.cian.ru/sale/flat/300976168/,Москва,sale,flat,2,12,1,40.7,-1,0,13952164,Гольяново,Монтажная ,вл8/24,Щёлковская,1-й Измайловский
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309038282/,Москва,sale,flat,5,5,1,29.5,-1,0,9800000,Люблино,Ставропольская ,6,Люблино,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305007761/,Москва,sale,flat,8,8,1,30.0,-1,0,7800000,, Золотошвейная,6,Филатов Луг,
Аквилон,developer,https://www.cian.ru/sale/flat/306728315/,Москва,sale,flat,2,23,1,19.9,-1,0,7730647,Отрадное,Сигнальный проезд,12,Владыкино,Akvilon Signal
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/302912593/,Москва,sale,flat,8,9,1,31.2,-1,0,13150000,Красносельский,Верхняя Красносельская ,24,Красносельская,
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306511930/,Москва,sale,flat,3,8,1,33.0,-1,0,11500000,Преображенское,Электрозаводская ,33С5,Преображенская площадь,Апартаменты Берег Яузы
ASTERUS,developer,https://www.cian.ru/sale/flat/306225030/,Москва,sale,flat,2,18,1,34.8,-1,0,15834000,Покровское-Стрешнево,,,Тушинская,ÁLIA
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/307393465/,Москва,sale,flat,4,20,1,76.13,-1,0,32164925,Даниловский,Автозаводская ,26,Тульская,FORST
Ключи,real_estate_agent,https://www.cian.ru/sale/flat/293420284/,Москва,sale,flat,6,14,1,40.0,-1,0,20990000,Тверской,3-й Самотечный переулок,21,Достоевская,
FORMA,developer,https://www.cian.ru/sale/flat/308009168/,Москва,sale,flat,14,30,1,41.5,-1,0,16752273,Щукино,проезд 4-й Красногорский,3,Стрешнево,Moments
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305494136/,Москва,sale,flat,5,20,1,38.1,-1,0,21000000,Филевский парк,Большая Филевская ,3к3,Фили,Западный порт
А101,developer,https://www.cian.ru/sale/flat/306745450/,Москва,sale,flat,7,9,1,34.1,-1,0,6705550,,,2,Толстопальцево,Родные кварталы ЖК
Группа Аквилон,developer,https://www.cian.ru/sale/flat/304304331/,Москва,sale,flat,2,28,1,37.44,-1,0,12475981,Нижегородский,,,Нижегородская,Аквилон Бисайд 2.0 ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304629167/,Москва,sale,flat,3,14,1,40.2,-1,0,23500000,Даниловский, Архитектора Щусева,2к1,ЗИЛ,ЗИЛАРТ
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/308908885/,Москва,sale,flat,6,8,1,38.0,-1,0,46500000,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/306285119/,Москва,sale,flat,3,17,1,35.0,-1,0,9865830,,,,Мичуринец,Переделкино Ближнее Город-парк
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300812067/,Москва,sale,flat,8,17,1,36.2,-1,0,27000000,Тверской,Садовая-Триумфальная ,22/31,Маяковская,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306676662/,Москва,sale,flat,4,12,1,34.2,-1,0,8500000,,проспект Куприна,32к2,Бунинская аллея,Эко Бунино
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/306453399/,Москва,sale,flat,7,28,1,27.8,-1,0,8673600,Отрадное,Отрадная ,4А,Отрадное,Малевич
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306551186/,Москва,sale,flat,8,16,1,44.7,-1,0,21300000,Можайский, Багрицкого,18к2,Кунцевская,
