author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
А101,developer,https://www.cian.ru/sale/flat/306743831/,Москва,sale,flat,3,8,2,38.0,-1,0,10456984,,,,Новомосковская,Дзен-кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308655147/,Москва,sale,flat,10,16,2,57.3,-1,0,10472664,,,к2,Филатов Луг,Цветочные Поляны
ФСК,developer,https://www.cian.ru/sale/flat/307015159/,Москва,sale,flat,6,15,2,44.32,-1,0,10536314,,,к2,Солнцево,Движение. Говорово ЖК
ПИК,developer,https://www.cian.ru/sale/flat/306987582/,Москва,sale,flat,3,17,2,51.0,-1,0,10510487,, Мостотреста,,Щербинка,Юнино
Самолет,developer,https://www.cian.ru/sale/flat/309016412/,Москва,sale,flat,9,9,2,57.46,-1,0,10450135,,,к28,Рассказовка,Новое Внуково ЖК
ID 70998264,unknown,https://www.cian.ru/sale/flat/308703542/,Москва,sale,flat,5,12,2,46.0,-1,0,10500000,Бирюлево Западное,Медынская ,5К4,Пражская,
Upside Development,developer,https://www.cian.ru/sale/flat/297367276/,Москва,sale,flat,2,8,2,49.7,-1,0,10491670,Бибирево, Корнейчука,27,Алтуфьево,Clementine
Самолет,developer,https://www.cian.ru/sale/flat/308655142/,Москва,sale,flat,9,16,2,59.0,-1,0,10469816,,,к2,Филатов Луг,Цветочные Поляны
Plus Development,developer,https://www.cian.ru/sale/flat/308704172/,Москва,sale,flat,3,23,2,56.5,-1,0,10461263,,,,Филатов Луг,Детали ЖК
А101,developer,https://www.cian.ru/sale/flat/308314050/,Москва,sale,flat,6,13,2,40.5,-1,0,10535144,,,18.1.4,Бунинская аллея,Скандинавия ЖК
,,https://www.cian.ru/sale/flat/307455521/,Москва,sale,flat,3,25,2,39.75,-1,0,10519838,Люблино,Юго-Восточный ао,к27,Перерва,Светлый Мир Станция Л ЖК
Московский Риэлторский Центр,real_estate_agent,https://www.cian.ru/sale/flat/307456438/,Москва,sale,flat,11,12,2,52.8,-1,0,10600000,Ивановское,Свободный проспект,7К2,Новогиреево,
ПИК,developer,https://www.cian.ru/sale/flat/306670884/,Москва,sale,flat,3,9,2,54.5,-1,0,10603519,,,4.3,Филатов Луг,Середневский Лес ЖК
,,https://www.cian.ru/sale/flat/300438958/,Москва,sale,flat,3,25,2,40.02,-1,0,10591293,Люблино,Юго-Восточный ао,к26,Перерва,Светлый Мир Станция Л ЖК
А101,developer,https://www.cian.ru/sale/flat/306744031/,Москва,sale,flat,7,12,2,41.4,-1,0,10594545,,,4.3,Новомосковская,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/306743547/,Москва,sale,flat,11,12,2,35.9,-1,0,10618251,,,3.2,Новомосковская,Дзен-кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308655144/,Москва,sale,flat,8,16,2,57.8,-1,0,10584336,,,к2,Филатов Луг,Цветочные Поляны
ФСК,developer,https://www.cian.ru/sale/flat/303277684/,Москва,sale,flat,1,15,2,50.25,-1,0,10581997,,,к2,Солнцево,Движение. Говорово ЖК
А101,developer,https://www.cian.ru/sale/flat/306737091/,Москва,sale,flat,3,17,2,39.7,-1,0,10592516,,,25.5,Бунинская аллея,Скандинавия ЖК
А101,developer,https://www.cian.ru/sale/flat/308314051/,Москва,sale,flat,8,13,2,40.4,-1,0,10620837,,,18.1.4,Бунинская аллея,Скандинавия ЖК
А101,developer,https://www.cian.ru/sale/flat/306747871/,Москва,sale,flat,17,19,2,41.3,-1,0,10618106,,,к2.3,Бунинская аллея,Бунинские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308920118/,Москва,sale,flat,2,14,2,53.31,-1,0,10624203,,,к22,Щербинка,Остафьево ЖК
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/308742525/,Москва,sale,flat,3,9,2,43.6,-1,0,10698000,Вешняки,Снайперская ,13,Выхино,
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/296051118/,Москва,sale,flat,9,14,2,61.0,-1,0,10700000,,проспект Куприна,40к2,Потапово,Эко Бунино
Plus Development,developer,https://www.cian.ru/sale/flat/309008618/,Москва,sale,flat,3,23,2,58.0,-1,0,10738996,,,,Филатов Луг,Детали ЖК
ПИК,developer,https://www.cian.ru/sale/flat/303687686/,Москва,sale,flat,9,9,2,51.9,-1,0,10654810,,,4.3,Филатов Луг,Середневский Лес ЖК
ПИК,developer,https://www.cian.ru/sale/flat/304453373/,Москва,sale,flat,2,9,2,57.4,-1,0,10742409,,,4.3,Филатов Луг,Середневский Лес ЖК
А101,developer,https://www.cian.ru/sale/flat/306747154/,Москва,sale,flat,13,19,2,49.6,-1,0,10741574,,,9.1,Бунинская аллея,Бунинские Кварталы ЖК
