author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/307211222/,Москва,sale,flat,8,9,1,57.6,-1,0,117936000,2023,-1,Монолитный,-1,"Без отделки, чистовая с мебелью",-1,-1,+74951387184,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679592/,Москва,sale,flat,7,20,1,43.09,-1,0,20252300,2024,-1,-1,-1,-1,"10,6 м²","18,7 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/306709200/,Москва,sale,flat,15,15,1,40.6,-1,0,11890000,2018,-1,-1,-1,-1,20 м²,10 м²,+79660471558,,бульвар Веласкеса,3к3,Прокшино,
MR Group,developer,https://www.cian.ru/sale/flat/308909121/,Москва,sale,flat,6,13,1,85.04,-1,0,130383328,2025,-1,Монолитно-кирпичный,-1,Чистовая,"45,8 м²","15,8 м²",+74951387239,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/305881394/,Москва,sale,flat,1,12,1,38.9,-1,0,12690000,1978,-1,-1,-1,-1,21 м²,9 м²,+79660471558,Таганский, Талалихина,3,Пролетарская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305957125/,Москва,sale,flat,2,12,1,51.2,-1,0,31300000,2022,-1,-1,-1,-1,33 м²,5 м²,+79645653269,Сокол, Врубеля,4к1,Сокол,Врубеля 4
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/305693861/,Москва,sale,flat,22,22,1,15.8,-1,0,7890000,1980,-1,-1,-1,-1,11 м²,3 м²,+79647824573,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Regions Development,developer,https://www.cian.ru/sale/flat/308234966/,Москва,sale,flat,8,16,1,37.8,-1,0,18192215,2027,-1,Монолитно-кирпичный,-1,Без отделки,"32,8 м²",-1,+74951370547,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304268316/,Москва,sale,flat,6,7,1,40.8,-1,0,11500000,2023,-1,-1,-1,-1,-1,10 м²,+79067947242,Солнцево,Родниковая ,5А,Солнцево,
Stapler Estate,real_estate_agent,https://www.cian.ru/sale/flat/307745732/,Москва,sale,flat,25,52,1,28.9,-1,0,21500000,2020,-1,-1,-1,-1,"18,9 м²",5 м²,+79850407410,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/297758518/,Москва,sale,flat,8,21,1,44.5,-1,0,22100000,2024,-1,-1,-1,Без отделки,-1,"18,8 м²",+79645655918,Хорошево-Мневники,Жилой комплекс остров,2-й кв-л,Мнёвники,Остров
Основа,developer,https://www.cian.ru/sale/flat/299250693/,Москва,sale,flat,11,29,1,30.1,-1,0,12837650,2025,-1,Монолитный,-1,"Без отделки, предчистовая, черновая, чистовая","10,5 м²","11,5 м²",+74951377247,Черемушки, Наметкина,вл10,Новые Черёмушки,Nametkin Tower
Regions Development,developer,https://www.cian.ru/sale/flat/308071691/,Москва,sale,flat,7,17,1,45.31,-1,0,21723057,2024,-1,Монолитно-кирпичный,-1,Без отделки,"20,3 м²",-1,+74951370547,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/308359622/,Москва,sale,flat,7,12,1,27.7,-1,0,7990000,2024,-1,-1,-1,Чистовая,"12,1 м²","7,7 м²",+79891802810,Молжаниновский,Ленинградское шоссе,228к2,Молжаниново,1-й Ленинградский
А101,developer,https://www.cian.ru/sale/flat/306741319/,Москва,sale,flat,2,16,1,37.5,-1,0,20328519,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","13,5 м²","10,7 м²",+74951379043,Сокол, Зорге,25С2,Октябрьское поле,Дом на Зорге
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/303275078/,Москва,sale,flat,9,16,1,42.4,-1,0,18500000,2023,-1,-1,-1,-1,"16,3 м²",14 м²,+79057143761,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307822842/,Москва,sale,flat,3,25,1,40.1,-1,0,14900000,2020,-1,-1,-1,-1,-1,"18,8 м²",+79645646095,Южное Медведково,Полярная ,27к2,Медведково,Полярная 25
