author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
RBI,developer,https://spb.cian.ru/sale/flat/306080825/,Москва и МО,sale,flat,7,12,1,37.2,-1,0,13376967.0,Невский, Бабушкина,2,Елизаровская,Литера
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва и МО,sale,flat,9,40,1,41.5,-1,0,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва и МО,sale,flat,11,12,1,33.5,-1,0,8000000.0,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
GloraX,developer,https://spb.cian.ru/sale/flat/308464992/,Москва и МО,sale,flat,8,9,1,30.99,-1,0,12419999.0,Адмиралтейский, Шкапина,15,Балтийская,GloraX Балтийская
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва и МО,sale,flat,13,41,1,41.5,-1,0,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309028428/,Москва и МО,sale,flat,9,14,1,38.5,-1,0,7000000.0,Крюково,Зеленоград,к1524,Зеленоград — Крюково,
RBI,developer,https://spb.cian.ru/sale/flat/304071661/,Москва и МО,sale,flat,13,23,1,35.8,-1,0,12673866.0,Выборгский, Шостаковича,8к2Б2,Проспект Просвещения,Струны
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва и МО,sale,flat,3,20,1,59.0,-1,0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
Новый Адрес,real_estate_agent,https://spb.cian.ru/sale/flat/299723646/,Москва и МО,sale,flat,3,5,1,39.04,-1,0,6000000.0,Московский, Струве,8к2,Звездная,Зеленый квартал
ПИК,developer,https://spb.cian.ru/sale/flat/299176047/,Москва и МО,sale,flat,2,9,1,34.8,-1,0,14560876.0,Адмиралтейский,Измайловское,к 2.1,Балтийская,Лермонтовский 54 ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307950468/,Москва и МО,sale,flat,4,13,1,43.6,-1,0,37500000.0,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide
Альтера,real_estate_agent,https://kazan.cian.ru/sale/flat/302924093/,Москва и МО,sale,flat,3,9,1,29.5,-1,0,3899000.0,Кировский, Водников,56,Кремлёвская,
ПИК,developer,https://spb.cian.ru/sale/flat/305857769/,Москва и МО,sale,flat,4,8,1,33.8,-1,0,11058481.0,Василеостровский,Гавань,,Горный институт,Шкиперский 19 ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308207546/,Москва и МО,sale,flat,14,41,1,48.0,-1,0,31500000.0,Раменки,1-й Сетуньский проезд,вл8,Кутузовская,Hide
Диалог Риэлт,real_estate_agent,https://lyubertsy.cian.ru/sale/flat/308678545/,Москва и МО,sale,flat,4,4,1,31.9,-1,0,4000000.0,Октябрьский рп, Комсомольская,11,,
LAR Development,developer,https://spb.cian.ru/sale/flat/305426738/,Москва и МО,sale,flat,3,4,1,36.85,-1,0,12160500.0,Курортный,,,,Ранта Резиденс
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307970298/,Москва и МО,sale,flat,14,32,1,44.0,-1,0,32500000.0,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
BR Group,real_estate_agent,https://spb.cian.ru/sale/flat/308707071/,Москва и МО,sale,flat,1,4,1,36.2,-1,0,7800000.0,Невский, Бабушкина,47,Елизаровская,
Алькор,developer,https://spb.cian.ru/sale/flat/305190388/,Москва и МО,sale,flat,3,5,1,34.54,-1,0,11542073.0,Кронштадтский,дорога Цитадельская,,Беговая,Кронфорт.Центральный
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/307810501/,Москва и МО,sale,flat,75,95,1,57.0,-1,0,47000000.0,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
ID 63234286,homeowner,https://kaliningrad.cian.ru/sale/flat/307103122/,Москва и МО,sale,flat,1,5,1,37.2,-1,0,5780000.0,Центральный,Косогорная ,2,,
RBI,developer,https://spb.cian.ru/sale/flat/307997705/,Москва и МО,sale,flat,3,9,1,45.5,-1,0,22395373.0,Центральный,Миргородская ,1,Площадь Восстания,Миръ
ID 112609323,realtor,https://www.cian.ru/sale/flat/307205775/,Москва и МО,sale,flat,4,6,1,59.35,-1,0,101785250.0,Мещанский, Кузнецкий Мост,12/3С1,Кузнецкий мост,Kuznetsky Most 12 by Lalique
Ваш Гарант офис Курортный,real_estate_agent,https://sochi.cian.ru/sale/flat/305167513/,Москва и МО,sale,flat,5,5,1,42.0,-1,0,7000000.0,Центральный, Навагинская,13/1,,
GloraX,developer,https://spb.cian.ru/sale/flat/304043728/,Москва и МО,sale,flat,7,19,1,38.72,-1,0,13609999.0,Василеостровский, Челюскина,10,,GloraX Premium Василеостровский
Павел Михайлов,realtor,https://www.cian.ru/sale/flat/308082096/,Москва и МО,sale,flat,12,16,1,44.0,-1,0,26296000.0,Раменки,проспект Генерала Дорохова,39к2Л,Минская,Собрание клубных домов West Garden
